0.005 2.10605e-06
0.01 3.33967e-06
0.015 4.7122e-06
0.045 7.1969e-05
0.05 0.000107024
0.055 0.000152321
0.06 0.000234935
0.07 0.000452622
0.075 0.000672437
0.08 0.00096669
0.085 0.00140906
0.09 0.00214081
0.095 0.00304354
0.1 0.00490074
0.105 0.00719732
0.11 0.0110567
0.115 0.0164207
0.12 0.0235458
0.125 0.0325456
0.13 0.0391829
0.135 0.0459977
0.14 0.0622786
0.145 0.0722311
0.15 0.0821844
0.155 0.0910919
0.16 0.114213
0.165 0.142611
0.17 0.164491
0.175 0.188407
0.18 0.215408
0.185 0.2481
0.19 0.283837
0.195 0.339919
0.2 0.404141
0.205 0.474654
0.21 0.477797
0.215 0.642138
0.22 0.724928
0.225 0.814057
0.23 0.930016
0.235 1.03787
0.24 1.31209
0.245 1.29015
0.25 1.646
0.255 1.83662
0.26 2.20779
0.265 2.25586
0.27 2.75999
0.275 3.20037
0.28 3.64782
0.285 4.04701
0.29 4.77878
0.295 5.28542
0.3 6.15749
0.305 6.16146
0.31 6.88079
0.315 8.36381
0.32 10.059
0.325 10.7443
0.33 12.383
0.335 15.2409
0.34 16.1264
0.345 18.3984
0.35 21.1386
0.355 23.4394
0.36 27.8269
0.365 29.564
0.37 34.4491
0.375 41.7603
0.38 49.8621
0.385 56.2845
0.39 62.4308
0.395 75.4569
0.4 80.6439
0.405 94.8804
0.41 119.878
0.415 134.002
0.42 165.577
0.425 163.722
0.43 200.454
0.435 241.258
0.44 287.724
0.445 363.918
0.45 364.207
0.455 515.778
0.46 676.558
0.465 783.517
0.47 964.244
0.475 1240.03
0.48 1531.52
0.485 1879.71
0.49 2474.27
0.495 3211.12
0.5 4371.2
0.505 6041.02
0.51 8013.06
0.515 12124.3
0.52 19429.1
0.525 30408
0.53 46005.6
0.535 72473.8
0.54 127400
0.545 178691
