0.005 4.84515e-06
0.015 8.72245e-06
0.02 1.5538e-05
0.025 2.39051e-05
0.04 8.67273e-05
0.045 0.000131406
0.05 0.000209477
0.06 0.000435256
0.065 0.000644832
0.07 0.000892171
0.075 0.00123574
0.08 0.00194252
0.085 0.00271474
0.09 0.00394183
0.095 0.00601119
0.1 0.00899336
0.105 0.0131572
0.11 0.0211758
0.115 0.0290208
0.12 0.043348
0.125 0.062354
0.13 0.0748136
0.135 0.0928334
0.14 0.111286
0.145 0.13088
0.15 0.1433
0.155 0.169404
0.16 0.209719
0.165 0.240324
0.17 0.290457
0.175 0.296754
0.18 0.355914
0.185 0.475935
0.19 0.555149
0.195 0.637133
0.2 0.754417
0.205 0.844552
0.21 0.952471
0.215 1.19338
0.22 1.24042
0.225 1.41991
0.23 1.83052
0.235 2.1783
0.24 2.38895
0.245 2.53695
0.25 2.9541
0.255 3.04238
0.26 4.05727
0.265 4.7281
0.27 5.62422
0.275 5.9115
0.28 6.6077
0.285 7.7212
0.29 8.46303
0.295 8.65566
0.3 11.3217
0.305 11.2118
0.31 13.539
0.315 15.305
0.32 17.3644
0.325 21.6148
0.33 23.6412
0.335 26.3956
0.34 30.0878
0.345 33.7395
0.35 39.8284
0.36 50.9224
0.365 63.1408
0.37 68.8871
0.375 82.3487
0.38 89.0212
0.385 110.349
0.39 118.525
0.395 139.457
0.4 150.981
0.405 191.045
0.41 213.809
0.415 239.943
0.42 296.823
0.425 321.877
0.43 390.263
0.435 489.151
0.44 556.77
0.445 671.853
0.45 781.152
0.46 1125.62
0.47 1740.97
0.475 2016.12
0.48 2853.11
0.485 2940.28
0.49 4693.75
0.495 5790.27
0.5 7921.48
0.505 10741.4
0.51 14572.1
0.515 23881.9
0.52 39167.1
0.525 44524.2
0.53 97290.7
0.54 212883
0.545 377455
